mobiles_types,features,prices,rating,review,links
"Nothing Phone (3a) (White, 128 GB)",8 GB RAM | 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,"₹24,999",4.5,"22,938 Ratings & 2,128 Reviews",/nothing-phone-3a-white-128-gb/p/itm49557c5a65f9c?pid=MOBH8G3PK4RZFYAA&lid=LSTMOBH8G3PK4RZFYAA8FX4IY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=en_eyMi69TDhd1xcZ4WS7kbEeFEN0c1egyWtzDHb7Jr5iGunbxKw_a7swkUrNM2GbSJUPQSRDQYn0AK2bSA0YM-jfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"Nothing Phone (3a) Pro (Black, 128 GB)",8 GB RAM | 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,"₹29,999",4.5,"4,355 Ratings & 454 Reviews",/nothing-phone-3a-pro-black-128-gb/p/itm04daaef6652d4?pid=MOBH8G3PJAAHAJFG&lid=LSTMOBH8G3PJAAHAJFGSJDK8E&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=en_eyMi69TDhd1xcZ4WS7kbEeFEN0c1egyWtzDHb7Jr5iFIDIpAYKujHCu8uj6qPXssvirbnFrZ_slCqPSupOLR4fUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"Motorola g45 5G (Brilliant Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹11,999",4.3,"1,70,450 Ratings & 9,035 Reviews",/motorola-g45-5g-brilliant-blue-128-gb/p/itmc45105311348e?pid=MOBH3YKQT2HEAPAM&lid=LSTMOBH3YKQT2HEAPAMTX4TTX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH3YKQT2HEAPAM.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"REDMI A5 (Jaisalmer Gold, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"₹6,499",4.3,"1,096 Ratings & 54 Reviews",/redmi-a5-jaisalmer-gold-64-gb/p/itm2b4357effaa74?pid=MOBHB2HGH5DCFNWZ&lid=LSTMOBHB2HGH5DCFNWZHAP4LG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBHB2HGH5DCFNWZ.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"vivo T4x 5G (Marine Blue, 128 GB)",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹13,999",4.5,"63,071 Ratings & 3,544 Reviews",/vivo-t4x-5g-marine-blue-128-gb/p/itm017656bdd097b?pid=MOBH9JUSTWEMVADU&lid=LSTMOBH9JUSTWEMVADU5W2ENU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH9JUSTWEMVADU.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"MOTOROLA g05 (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5200 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹6,999",4.3,"32,342 Ratings & 2,454 Reviews",/motorola-g05-forest-green-64-gb/p/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH5F3Q2SGMAFHR.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹8,499",4.1,"11,816 Ratings & 883 Reviews",/samsung-galaxy-f06-5g-bahama-blue-128-gb/p/itm58189fada62cb?pid=MOBH9AS47XHFRMJY&lid=LSTMOBH9AS47XHFRMJYWI8CRI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH9AS47XHFRMJY.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"vivo T4x 5G (Pronto Purple, 128 GB)",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹13,999",4.5,"63,071 Ratings & 3,544 Reviews",/vivo-t4x-5g-pronto-purple-128-gb/p/itm017656bdd097b?pid=MOBH9JUSZFBNVDXM&lid=LSTMOBH9JUSZFBNVDXMQY4SVC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_8&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH9JUSZFBNVDXM.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"REDMI A3X (Olive Green, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹5,999",4.1,"6,669 Ratings & 322 Reviews",/redmi-a3x-olive-green-64-gb/p/itmae02f9f3f765a?pid=MOBH2YYZPZ32HS9T&lid=LSTMOBH2YYZPZ32HS9TBHHZP4&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH2YYZPZ32HS9T.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
"Infinix Note 40X 5G (Lime Green, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display108MP + 2MP + AI Lens | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹13,999",4.3,"31,724 Ratings & 2,173 Reviews",/infinix-note-40x-5g-lime-green-256-gb/p/itm9c39960257804?pid=MOBH34XGVBZFTQMU&lid=LSTMOBH34XGVBZFTQMUWKVCNT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_HistoryAutoSuggest_2_3_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_2_3_na_na_na&fm=organic&iid=198932a2-801e-4f6c-b1d8-17ad1cdc0176.MOBH34XGVBZFTQMU.SEARCH&ppt=None&ppn=None&ssid=i4xfae3x6o0000001750144686187&qH=eb4af0bf07c16429
